"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",6.77846521208725,0.294927506563765,22.9834961515253,9.75114896048241e-32
"packAimee$HumanFootPrint",-0.310824656724917,0.0639632961816412,-4.85942212612443,8.58799456783859e-06
