"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"4","Hum",3,256.585703809125,0,1,0.633206098108471,-125.089462074054,0.633206098108471
"2","Cont+Hum",4,258.820175940949,2.23447213182391,0.327182857898424,0.20717418081784,-125.065260384267,0.840380278926311
"1","Cont*Hum",5,260.504483722384,3.91877991325981,0.140944376882616,0.0892468389361713,-124.725926071719,0.929627117862482
"5","Cont",3,260.981491186074,4.39578737694922,0.111036790296283,0.0703091727299981,-127.287355762528,0.999936290592481
"3","Null",2,274.994141811377,18.4084380022524,0.000100614014472826,6.37094075193674e-05,-135.397070905689,1
